Character,cm,ft,Bust,Band,Waist,Hip,Thigh,Bust,Band,Waist,Hip,Thigh,diff (in),UK,US,EU,Waist-Hip Ratio,Waist-height ratio,Waist-thigh ratio,Thigh-height ratio,Notes
Aria bot,140,"4' 7""",51.6,45.8,41.3,80.4,53.2,20.3,18.0,16.3,31.7,20.9,3,19C,19C,36C,0.514,0.295,0.776,0.380,
Piper,151,"4' 11""",52.4,46.5,42.1,75.3,44.7,20.6,18.3,16.6,29.6,17.6,3,19C,19C,37C,0.559,0.279,0.942,0.296,
Lucy,152,"5' 0""",52.7,46.3,39.6,69.0,41.2,20.7,18.2,15.6,27.2,16.2,3,19C,19C,37C,0.574,0.261,0.961,0.271,
Lucy (swimsuit),152,"5' 0""",50.0,44.6,37.3,68.4,41.2,19.7,17.6,14.7,26.9,16.2,3,18C,18C,35C,0.545,0.245,0.905,0.271,
Seed,153,"5' 0""",60.1,50.5,42.8,77.0,45.1,23.7,19.9,16.9,30.3,17.8,4,20D,20D,41D,0.556,0.280,0.949,0.295,
Sunna,154,"5' 1""",48.0,43.6,38.8,68.1,41.6,18.9,17.2,15.3,26.8,16.4,2,18B,18B,34B,0.570,0.252,0.933,0.270,
Nangong Yu,156,"5' 1""",51.3,46.0,39.5,70.9,42.4,20.2,18.1,15.6,27.9,16.7,3,19C,19C,36C,0.557,0.253,0.932,0.272,
Anby,156,"5' 1""",63.5,51.2,43.3,78.5,45.4,25.0,20.2,17.0,30.9,17.9,5,21DD,21DD,42E,0.552,0.278,0.954,0.291,"SAnby used for measurements, more visible geometry available"
Cissia,156,"5' 1""",67.2,50.9,42.5,77.1,44.9,26.5,20.0,16.7,30.4,17.7,7,21F,21DDDD,41G,0.551,0.272,0.947,0.288,
Orphie,158,"5' 2""",66.9,50.4,44.4,77.6,46.9,26.3,19.8,17.5,30.6,18.5,7,20F,20DDDD,41G,0.572,0.281,0.947,0.297,
Belle,158,"5' 2""",61.9,51.8,41.2,75.5,44.3,24.4,20.4,16.2,29.7,17.4,4,21D,21D,42D,0.546,0.261,0.930,0.280,
Belle (summer),158,"5' 2""",63.6,51.5,43.1,76.1,45.2,25.0,20.3,17.0,30.0,17.8,5,21DD,21DD,42E,0.566,0.273,0.954,0.286,
Soldier11,160,"5' 3""",62.9,49.2,47.1,81.5,46.1,24.8,19.4,18.5,32.1,18.1,6,20E,20DDD,40F,0.578,0.294,1.022,0.288,
Lucia,160,"5' 3""",64.6,52.0,44.9,81.9,49.0,25.4,20.5,17.7,32.2,19.3,5,21DD,21DD,42E,0.548,0.281,0.916,0.306,
Burnice,160,"5' 3""",67.4,51.7,43.8,79.6,46.1,26.5,20.4,17.2,31.3,18.1,7,21F,21DDDD,42G,0.550,0.274,0.950,0.288,
Ellen Joe,161,"5' 3""",63.5,46.4,44.1,80.6,46.0,25.0,18.3,17.4,31.7,18.1,7,19F,19DDDD,37G,0.547,0.274,0.959,0.286,
Vivian,162,"5' 4""",58.2,43.6,43.2,77.7,44.9,22.9,17.2,17.0,30.6,17.7,6,18E,18DDD,34F,0.556,0.267,0.962,0.277,
Vivian (swimsuit),162,"5' 4""",62.1,46.8,40.6,76.5,44.3,24.4,18.4,16.0,30.1,17.4,7,19F,19DDDD,37G,0.531,0.251,0.916,0.273,
Yuzuha,162,"5' 4""",60.8,50.8,40.8,79.9,46.8,23.9,20.0,16.1,31.5,18.4,4,20D,20D,41D,0.511,0.252,0.872,0.289,
Ye Shunguang,162,"5' 4""",65.5,50.2,42.6,76.9,44.3,25.8,19.8,16.8,30.3,17.4,7,20F,20DDDD,41G,0.554,0.263,0.962,0.273,
Alice,163,"5' 4""",65.2,49.3,42.2,78.1,45.7,25.7,19.4,16.6,30.7,18.0,7,20F,20DDDD,40G,0.540,0.259,0.923,0.280,
Nicole,165,"5' 5""",68.1,50.6,44.9,81.4,46.2,26.8,19.9,17.7,32.0,18.2,7,20F,20DDDD,41G,0.552,0.272,0.972,0.280,
Remielle,167,"5' 6""",72.1,51.5,42.0,83.8,51.9,28.4,20.3,16.5,33.0,20.4,9,21G,21I,42I,0.501,0.251,0.809,0.311,TBC
Yanagi,169,"5' 7""",79.0,56.5,50.5,91.2,51.2,31.1,22.2,19.9,35.9,20.2,9,23G,23I,47I,0.554,0.299,0.986,0.303,
Miyabi,170,"5' 7""",60.8,46.5,46.4,66.3,40.2,23.9,18.3,18.3,26.1,15.8,6,19E,19DDD,37F,0.700,0.273,1.154,0.236,Height includes ears
Grace,170,"5' 7""",76.4,53.3,49.3,91.4,52.5,30.1,21.0,19.4,36.0,20.7,10,21GG,21J,44J,0.539,0.290,0.939,0.309,
Jane Doe,170,"5' 7""",67.2,55.6,47.0,91.4,52.9,26.5,21.9,18.5,36.0,20.8,5,22DD,22DD,46E,0.514,0.276,0.888,0.311,
Jane Doe (skin),170,"5' 7""",71.3,56.8,49.1,89.6,52.9,28.1,22.4,19.3,35.3,20.8,6,23E,23DDD,47F,0.548,0.289,0.928,0.311,
Yidhari,171,"5' 7""",79.3,53.7,46.0,87.3,51.5,31.2,21.1,18.1,34.4,20.3,11,22H,22K,44K,0.527,0.269,0.893,0.301,
Yi Xuan,172,"5' 8""",75.1,54.2,49.5,87.9,52.9,29.6,21.3,19.5,34.6,20.8,9,22G,22I,45I,0.563,0.288,0.936,0.308,
Promeia,174,"5' 9""",66.8,53.5,46.8,89.3,48.1,26.3,21.1,18.4,35.2,18.9,6,22E,22DDD,44F,0.524,0.269,0.973,0.276,
Velina,172,"5' 8""",77.5,52.0,45.7,87.9,52.1,30.5,20.5,18.0,34.6,20.5,11,21H,21K,42K,0.520,0.266,0.877,0.303,
Trigger,173,"5' 8""",69.6,56.3,49.3,89.0,52.4,27.4,22.2,19.4,35.0,20.6,6,23E,23DDD,47F,0.554,0.285,0.941,0.303,Chest approximated due to armor
Evelyn,173,"5' 8""",74.6,57.8,49.9,86.3,52.8,29.4,22.8,19.6,34.0,20.8,7,23F,23DDDD,48G,0.578,0.288,0.945,0.305,
Rina,173,"5' 8""",80.5,57.0,51.3,92.5,54.3,31.7,22.4,20.2,36.4,21.4,10,23GG,23J,47J,0.555,0.297,0.945,0.314,
Pulchra,173,"5' 8""",73.8,53.9,47.4,93.8,53.1,29.1,21.2,18.7,36.9,20.9,8,22FF,22H,44H,0.505,0.274,0.893,0.307,
Zhu Yuan,175,"5' 9""",71.1,57.2,51.2,94.1,55.3,28.0,22.5,20.2,37.0,21.8,6,23E,23DDD,48F,0.544,0.293,0.926,0.316,
Astra Yao,176,"5' 9""",71.4,54.8,45.9,87.9,51.3,28.1,21.6,18.1,34.6,20.2,7,22F,22DDDD,45G,0.522,0.261,0.895,0.291,
Caesar,176,"5' 9""",78.3,55.9,51.9,91.7,53.8,30.8,22.0,20.4,36.1,21.2,9,23G,23I,46I,0.566,0.295,0.965,0.306,
Sigrid,175,"5' 9""",72.3,57.3,48.0,89.6,53.1,28.5,22.6,18.9,35.3,20.9,6,23E,23DDD,48F,0.536,0.274,0.904,0.303,
